College,State,Conference,Latitude,Longitude
Adrian College,MI,Michigan Intercollegiate Athletic Association,41.8984947,-84.0608324
Agnes Scott College,GA,Collegiate Conference of the South,33.7688851,-84.2944452
Albertus Magnus College,CT,Great Northeast Athletic Conference,41.332772,-72.9225456
Albion College,MI,Michigan Intercollegiate Athletic Association,42.2437255,-84.742901
Albright College,PA,MAC Commonwealth,40.3627666,-75.9117629
Alfred University,NY,Empire 8,42.255862,-77.7857087
Alfred State College,NY,Allegheny Mountain Collegiate Conference,42.2561256,-77.7979136
Allegheny College,PA,Presidents' Athletic Conference,41.6480894,-80.1452977
Alma College,MI,Michigan Intercollegiate Athletic Association,43.381474,-84.671349
Alvernia University,PA,MAC Commonwealth,40.3099619,-75.9353046
Alverno College,WI,Northern Athletics Collegiate Conference,42.9837531,-87.9654822
Amherst College,MA,New England Small College Athletic Conference,42.3703768,-72.5160692
Anderson University (Indiana),IN,Heartland Collegiate Athletic Conference,40.114554,-85.660719
Anna Maria College,MA,Massachusetts State Collegiate Athletic Conference,42.3303679,-71.9197278
Arcadia University,PA,MAC Freedom,40.0917501,-75.1651151
Asbury University,KY,Collegiate Conference of the South,37.8635807,-84.6653085
Augsburg University,MN,Minnesota Intercollegiate Athletic Conference,44.9663802,-93.2412702
Augustana College (Illinois),IL,College Conference of Illinois and Wisconsin,41.5015277,-90.5503699
Aurora University,IL,Northern Athletics Collegiate Conference,41.754829,-88.3495036
Austin College,TX,Southern Collegiate Athletic Conference,33.6474084,-96.5980179
Averett University,VA,Old Dominion Athletic Conference,36.5789301,-79.4145205
Babson College,MA,New England Women's and Men's Athletic Conference,42.2949963,-71.2649172
Baldwin Wallace University,OH,Ohio Athletic Conference,41.3713339,-81.8479949
Bard College,NY,Liberty League,42.0225482,-73.9107242
Baruch College,NY,City University of New York Athletic Conference,40.7402105,-73.9833844
Bates College,ME,New England Small College Athletic Conference,44.1055314,-70.2015082
Belhaven University,MS,Collegiate Conference of the South,32.3201391,-90.1690572
Beloit College,WI,Midwest Conference,42.5009819,-89.0157777
Benedictine University,IL,Northern Athletics Collegiate Conference,41.7779976,-88.0969936
