Club Name,Source URL,Emails
Bethesda SC,https://www.bethesdasoccer.org/,office@bethesdasoccer.org
FC Bucks,https://www.fcbucks.com/contact-us-2/,admin@crusa.net; connect@crusa.net; crusapresident@crusa.net; supervisor@crusa.net; girlsdoc@crusa.net
FC Delco,https://fcdelco.org/administration/contact-us/,jeff@fcdelco.org
FC Stars,https://fcstars.com/about-us/contact-us/,info@fcstars.com
FSA FC,https://fsafc.com/contact-us/,clubadmin@fsafcunited.com
Maryland United FC,https://mdunitedfc.org/contact/,steve.campbell@mdunitedfc.org
Match Fit Academy,https://tshq.bluesombrero.com/Default.aspx?tabid=1753820,info@matchfitacademy.net
PDA,https://pdacorporation.com/ContactUs,rkstaley@alacritysolutions.com; rjpicone@alacritysolutions.com; csc_sas@alacritysolutions.com; bsoli@alacritysolutions.com; vvettese@alacritysolutions.com; jdstephens@alacritysolutions.com; tvoglesong@alacritysolutions.com; jbowman@alacritysolutions.com; aborninkhof@alacritysolutions.com
Penn Fusion SA,https://www.pennfusion.org/,jscott@pennfusion.org
Pipeline SC,https://scpipelineandengineering.com/contact/,santino@pipelinesc.com
Pittsburgh Riverhounds,https://www.riverhounds.com/contact-us/,
SUSA FC,https://www.susaacademy.com/,LTRAYPHOTOGRAPHY@GMAIL.COM
Western New York Flash,https://wnyflash.com/academy-overview/contact,rjackman@wnyflashsoccer.com; karaujo@wnyflashsoccer.com; rcurtis@wnyflashsoccer.com; pwhitcomb@wnyflashsoccer.com; bwolanski@wnyflashsoccer.com; bsteele@wnyflashsoccer.com; edade@wnyflashsoccer.com; alines@wnyflashsoccer.com; bpedezert@wnyflashsoccer.com; communications@wnyflashsoccer.com
World Class FC,http://wcsocceracademy.org/contact-information/world-class-fc-contact-information/,info@wcsocceracademy.org; uniforms@wcsocceracademy.org; registrar@wcsocceracademy.org; boysdoc@wcsocceracademy.org; girlsdoc@wcsocceracademy.org; wcfcjj@gmail.com
AC Connecticut,https://www.acconnecticut.com/contactus,
East Coast FC,https://playclubsoccer.org/club/east-coast-fc,
PSA Monmouth,https://princetonsocceracademy.com/monmouth/,
Scorpions Soccer,https://www.scorpionssoccer.org/,mymail@mailservice.com; info@scorpionssoccer.org
SJEB FC,https://www.sjebfc.com/,bill@sjebfc.com; SJEBFOOTBALL@GMAIL.COM; jeff@sjebfc.com; wayne@sjebfc.com; wbshute@njrush.com
Philadelphia Ukrainians,https://ukrainiannationals.sprocketsports.com/,info@ukrainiannationals.com
Delaware FC,https://delawarefc.org/,defc@delawarefc.org
Alabama FC,https://www.birminghamunited.com/about-alabama-fc/,
Atlanta Fire,https://www.atlantaunitedsoccer.com/,kim.hall@atlantaunitedsoccer.com
CESA,http://carolinaelitesc.com/,info@carolinaelitesc.com
Charlotte Independence,https://www.independencesoccer.club/,
Charlotte SA,https://charlottesocceracademy.com/,admin@charlottesocceracademy.com
Concorde Fire,https://concordefire.com/contact-us,info@concordefire.com
Florida Elite,https://sports.bluesombrero.com/Default.aspx?tabid=754747,info@FloridaEliteSA.com
Florida Kraze Krush,https://floridakrazekrush.com/contact-fkk/,koettl@floridakrazekrush.com; dgorrick@floridarazekrush.com; dpetersen@floridakrazekrush.com; mhansen@floridakrazekrush.com; idcamp@floridakrazekrush.com; gbarbosa@floridakrazekrush.com; adensberger@floridakrazekrush.com; ovallejo@floridakrazekrush.com; info@floridakrazekrush.com; hmenzies@floridakrazekrush.com; lmarcus@floridakrazekrush.com; dphillips@floridakrazekrush.com; javallone@floridakrazekrush.com; gmikalsen@floridakrazekrush.com
GSA,https://www.gsasoccer.com/,email@email.com
Jacksonville FC,https://jfcsoccer.com/contact,office@jfcsoccer.com
NC Courage,https://www.nccourage.com/contact-us,
NCFC Youth,https://www.ncfcyouth.com/,mymail@mailservice.com; info@NCFCYouth.com
NC Fusion,https://www.ncfusion.org/,info@ncfusion.org
Orlando City Youth Soccer,https://www.oss-seminole.com/contact-us,Admin@ocyouthsoccer.com
Richmond United,https://richmondunited.com/,communications@richmondunited.com
Sunrise Prime,https://www.fc-prime.com/regions-broward,Aingham@fc-prime.com; Cyibirin@fc-prime.cm; Lbrown@fc-prime.com; Jhenao@fc-prime.com; admin@fc-prime.com; acamacho@fc-prime.com; jburaty@fc-prime.com
Tampa Bay United,https://tbusc.com/contact/,info@tbusc.com
Tennessee Soccer Club,https://tennesseesoccerclub.org/locations/,info@tennesseesoccerclub.org
UFA,https://www.unitedfa.org/,mountains@unitedfa.org; loganville@unitedfa.org; southgeorgia@unitedfa.org; forsyth@unitedfa.org; norcross@unitedfa.org; lawrenceville@unitedfa.org
VDA,https://www.vdasoccer.org/,admin@vdasoccer.org
Wilmington Hammerheads,https://www.hammerheads.soccer/contact,
Louisiana Fire,https://www.lafiresoccer.com/,info@lafiresoccer.com
Cleveland Force,https://www.clevelandforcesc.com/,Info@ClevelandForceSC.com; reilee@force-sports.com; CJ@Force-Sports.com
Eclipse Select,https://www.eclipseselect.org/,
FC Pride,https://fcpride.org/,
Gretna Elite Academy,https://www.gretnaeliteacademy.com/contact/,chris.dunford@gretnaeliteacademy.com; raphael.martinez@gretnaeliteacademy.com; clubadmin@gretnaeliteacademy.com; greg.jarosik@gretnaeliteacademy.com; mitch.kavanagh@gretnaeliteacademy.com; jono.callaghan@gretnaeliteacademy.com
Indiana Fire,https://www.indyelevenspirit.org/Default.aspx?tabid=160784,fcs11info@gmail.com; info@indianafirejuniorssouth.com
Internationals SC,https://www.internationalssoccer.com/,ksarver@gmail.com
Kansas City Athletics,https://www.athleticskc.com/,
Kings Hammer,https://kingshammer.com/contact/,info@kingshammer.com
Michigan Hawks,https://hawks.soccer/contact/,michele@hawks.soccer; doug@hawks.soccer
Midwest United,https://midwestunitedfc.com/,info@midwestunitedfc.com
Minnesota Thunder Academy,https://mnthunderacademy.org/contact-us/,admin@mnthunderacademy.org
Ohio Elite,https://ohioelite.sportngin.com/page/show/3065124-contact-us,
Ohio Premier,https://opsoccer.com/,
Racing Louisville Academy,https://www.loucityracingacademy.com/,
SLSG,https://www.slsgsoccer.com/,
Sporting Blue Valley,https://clubs.bluesombrero.com/Default.aspx?tabid=48597,
Nationals SC,https://www.nationalssoccer.com/,info@nationalssoccer.com
St. Louis Stars,https://stlstars.club/contact-us/,Hasan@stlstars.club; Andrew@stlstars.club; Hutch@stlstars.club; ryanwerk@gmail.com
Kansas Rush,https://www.kansasrush.com/,officestaff@kansasrush.com
Missouri Rush,https://www.morushsoccer.com/contact-us,info@morushsoccer.com
Albion Hurricanes,https://www.albionhurricanes.org/,sgreen@albionhurricanes.org; jhinfo@albionhurricanes.org; tournaments@albionhurricanes.org
Dallas Texans,https://dallastexans.com/resources/contact-us/,hassan1@prodigy.net
D’Feeters Kicks SC,https://playclubsoccer.org/club/dksc,
