Club Name,Conference,Latitude,Longitude,Address
Bethesda SC,Northeast & Mid-Atlantic,34.6412668,-80.0475656,"Bethesda, Chesterfield County, South Carolina, United States"
FC Bucks,Northeast & Mid-Atlantic,44.7480703,-84.5700241,"Bucks, Grayling Charter Township, Crawford County, Michigan, United States"
FC Delco,Northeast & Mid-Atlantic,34.3157241,-78.2247211,"Delco, Columbus County, North Carolina, 28436, United States"
FC Stars,Northeast & Mid-Atlantic,42.162,-71.4328,"Dingley Stars FC, Twofold Close, Dingley Village, Melbourne, City of Kingston, Victoria, 3172, Australia"
FSA FC,Northeast & Mid-Atlantic,38.3032,-77.4605,"FC Belgrano, Salta, San Roque, Estanislao del Campo, Municipio de Estanislao del Campo, Departamento Patiño, Formosa, P3626, Argentina"
Maryland United FC,Northeast & Mid-Atlantic,39.1754,-77.2619,"Maryland, Trellech United, The Narth, Monmouthshire, Cymru / Wales, NP25 4QJ, United Kingdom"
Match Fit Academy,Northeast & Mid-Atlantic,40.9056,-74.49,
PDA,Northeast & Mid-Atlantic,45.5084048,-73.5665434,"Place des arts, 175, Rue Sainte-Catherine Ouest, Quartier des Spectacles, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H5B 1E5, Canada"
Penn Fusion SA,Northeast & Mid-Atlantic,39.945,-75.584,
Pipeline SC,Northeast & Mid-Atlantic,34.8467103,-82.0107508,"Transcontinental Gas Pipeline, Spartanburg County, South Carolina, United States"
Pittsburgh Riverhounds,Northeast & Mid-Atlantic,40.4361,-80.0094,
SUSA FC,Northeast & Mid-Atlantic,42.9356,-70.8784,"Via Susa, Quartiere Dismano, Pievesestina, Cesena, Unione dei comuni Valle del Savio, Forlì-Cesena, Emilia-Romagna, 47522, Italia"
Western New York Flash,Northeast & Mid-Atlantic,42.825,-78.636,
World Class FC,Northeast & Mid-Atlantic,40.4527032,-83.9014572,"World Class Drive, Washington Township, Logan County, Ohio, 43348, United States"
AC Connecticut,Northeast & Mid-Atlantic,41.5573837,-72.1169431,"AC/DC Industrial Electric, Yantic Flats, Bean Hill Historic District, Yantic, Norwich, Southeastern Connecticut Planning Region, Connecticut, 06360, United States"
East Coast FC,Northeast & Mid-Atlantic,40.0583,-74.4057,"East Coast, Marine Parade, Central Region, Singapore"
PSA Monmouth,Northeast & Mid-Atlantic,40.287616,-74.158,
Scorpions Soccer,Northeast & Mid-Atlantic,42.215,-71.002,
SJEB FC,Northeast & Mid-Atlantic,39.74,-75.15,
Philadelphia Ukrainians,Northeast & Mid-Atlantic,40.239584,-75.189479,
Delaware FC,Northeast & Mid-Atlantic,39.68,-75.75,
Alabama FC,Southeast,33.9260807,-86.0155582,"Soccer Driver, Southside, Etowah County, Alabama, 35907, United States"
Atlanta Fire,Southeast,33.7103888,-84.3813458,"Atlanta Fire Rescue - Station 2, 1568, Jonesboro Road Southeast, Lakewood Heights, Atlanta, Fulton County, Georgia, 30315, United States"
