College Name,City,Primary Conference,Latitude,Longitude
Abilene Christian University,Abilene,Western Athletic Conference,32.4699728,-99.7073595
Alabama Agricultural and Mechanical University,Normal,Southwestern Athletic Conference,34.7838951,-86.5684231
Alabama State University,Montgomery,Southwestern Athletic Conference,32.3634508,-86.2935823
Alcorn State University,Lorman,Southwestern Athletic Conference,31.8747584,-91.1386681
American University,Washington,Patriot League,38.9377511,-77.0894676
Appalachian State University,Boone,Sun Belt Conference,36.2113525,-81.6860913
Arizona State University,Tempe,Big 12 Conference,33.4213174,-111.9331631
Arkansas State University,Jonesboro,Sun Belt Conference,35.8441163,-90.6726325
Auburn University,Auburn,Southeastern Conference,32.5919528,-85.4959775
Austin Peay State University,Clarksville,Atlantic Sun Conference,36.5342965,-87.3543085
Ball State University,Muncie,Mid-American Conference,40.2097296,-85.4112151
Baylor University,Waco,Big 12 Conference,31.5504341,-97.1102906
Bellarmine University,Louisville,Atlantic Sun Conference,38.2187504,-85.7058411
Belmont University,Nashville,Missouri Valley Conference,36.1327716,-86.7925822
Bethune–Cookman University,Daytona Beach,Southwestern Athletic Conference,29.2118536,-81.0319825
Boise State University,Boise,Mountain West Conference,43.6032821,-116.19941
Boston College,Chestnut Hill,Atlantic Coast Conference,42.3354481,-71.1682665
Boston University,Boston,Patriot League,42.3504215,-71.1032247
Bowling Green State University,Bowling Green,Mid-American Conference,41.3795005,-83.629789
Bradley University,Peoria,Missouri Valley Conference,40.6981131,-89.6155139
Brigham Young University,Provo,Big 12 Conference,40.2554083,-111.6496832
Brown University,Providence,Ivy League,41.8186395,-71.4088009
Bryant University,Smithfield,America East Conference,41.9220915,-71.5371517
Bucknell University,Lewisburg,Patriot League,40.9515356,-76.8879603
Butler University,Indianapolis,Big East Conference,39.8407191,-86.1737494
California Baptist University,Riverside,Western Athletic Conference,33.9283239,-117.4259206
California Polytechnic State University,San Luis Obispo,Big West Conference,35.3074623,-120.6646483
"California State University, Bakersfield",Bakersfield,Big West Conference,35.3493892,-119.1033969
"California State University, Fresno",Fresno,Mountain West Conference,36.8209963,-119.7372976
"California State University, Fullerton",Fullerton,Big West Conference,33.8830939,-117.8852152
"California State University, Long Beach",Long Beach,Big West Conference,33.7817709,-118.1152001
"California State University, Northridge",Northridge,Big West Conference,34.2455346,-118.5263221
"California State University, Sacramento",Sacramento,Big Sky Conference,38.5664697,-121.4284035
Campbell University,Buies Creek,Coastal Athletic Association,35.408071,-78.7392468
Canisius University,Buffalo,Metro Atlantic Athletic Conference,42.9274386,-78.853529
Central Connecticut State University,New Britain,Northeast Conference,41.6929278,-72.765429
Central Michigan University,Mount Pleasant,Mid-American Conference,43.58355,-84.7746308
Charleston Southern University,North Charleston,Big South Conference,32.9826445,-80.0710966
Chicago State University,Chicago,Northeast Conference,41.7170047,-87.6095326
Clemson University,Clemson,Atlantic Coast Conference,34.6686916,-82.8374348
Cleveland State University,Cleveland,Horizon League,41.5025834,-81.6750871
Coastal Carolina University,Conway,Sun Belt Conference,33.7953227,-79.0126785
Colgate University,Hamilton,Patriot League,42.8154037,-75.5395816
College of Charleston,Charleston,Coastal Athletic Association,32.7840902,-79.9380024
College of the Holy Cross,Worcester,Patriot League,42.2366865,-71.8070248
Colorado State University,Fort Collins,Mountain West Conference,40.5706567,-105.0853995
Columbia University,New York,Ivy League,40.8077508,-73.9624901
Coppin State University,Baltimore,Mid-Eastern Athletic Conference,39.3110927,-76.6585289
Cornell University,Ithaca,Ivy League,42.4529076,-76.4800842
Creighton University,Omaha,Big East Conference,41.2658566,-95.9450555
Dartmouth College,Hanover,Ivy League,43.7046757,-72.2942089
Davidson College,Davidson,Atlantic 10 Conference,35.5032193,-80.8339303
Delaware State University,Dover,Mid-Eastern Athletic Conference,39.1867993,-75.5423583
DePaul University,Chicago,Big East Conference,41.9245803,-87.6507223
Drake University,Des Moines,Missouri Valley Conference,41.6030742,-93.6552753
Drexel University,Philadelphia,Coastal Athletic Association,39.9569305,-75.1899265
Duke University,Durham,Atlantic Coast Conference,36.0001557,-78.9442297
Duquesne University,Pittsburgh,Atlantic 10 Conference,40.4385209,-79.9943536
East Carolina University,Greenville,American Conference,35.6328512,-77.4852672
Eastern Illinois University,Charleston,Ohio Valley Conference,39.478692,-88.1790663
Eastern Kentucky University,Richmond,Atlantic Sun Conference,37.7341619,-84.3011984
Eastern Michigan University,Ypsilanti,Mid-American Conference,42.2522463,-83.6245615
Eastern Washington University,Cheney,Big Sky Conference,47.4910113,-117.5842545
East Tennessee State University,Johnson City,Southern Conference,36.3024236,-82.3692822
East Texas A&M University,Commerce,Southland Conference,33.2399911,-95.9182528
Elon University,Elon,Coastal Athletic Association,36.1063398,-79.5027368
Fairfield University,Fairfield,Metro Atlantic Athletic Conference,41.1596757,-73.2574031
Fairleigh Dickinson University,Hackensack,Northeast Conference,40.8980728,-74.0307211
Florida Agricultural and Mechanical University,Tallahassee,Southwestern Athletic Conference,,
Florida Atlantic University,Boca Raton,American Conference,26.1194037,-80.1416919
Florida Gulf Coast University,Fort Myers,Atlantic Sun Conference,26.4636478,-81.7747246
Florida International University,Miami,Conference USA,25.7553898,-80.3762833
Florida State University,Tallahassee,Atlantic Coast Conference,30.442216,-84.297453
Fordham University,Bronx,Atlantic 10 Conference,40.8617344,-73.8860317
Furman University,Greenville,Southern Conference,34.9257744,-82.4385258
Gardner–Webb University,Boiling Springs,Big South Conference,35.2478295,-81.670238
George Mason University,Fairfax,Atlantic 10 Conference,38.8313333,-77.3079884
Georgetown University,Washington,Big East Conference,38.9089393,-77.0745796
Georgia Institute of Technology,Atlanta,Atlantic Coast Conference,33.7760948,-84.3988077
Georgia Southern University,Statesboro,Sun Belt Conference,32.4214381,-81.7845053
Georgia State University,Atlanta,Sun Belt Conference,33.7535889,-84.3854209
Gonzaga University,Spokane,West Coast Conference,47.6671026,-117.4030546
Grambling State University,Grambling,Southwestern Athletic Conference,32.5195028,-92.7211638
Grand Canyon University,Phoenix,Mountain West Conference,33.5131857,-112.127183
Hampton University,Hampton,Coastal Athletic Association,37.0210096,-76.3386255
Harvard University,Cambridge,Ivy League,42.3657432,-71.1222139
High Point University,High Point,Big South Conference,35.9720859,-79.9936582
Hofstra University,Hempstead,Coastal Athletic Association,40.7169083,-73.6000225
Houston Christian University,Houston,Southland Conference,29.6944292,-95.5147559
Howard University,Washington,Mid-Eastern Athletic Conference,38.9218972,-77.0195931
Idaho State University,Pocatello,Big Sky Conference,42.862567,-112.4321627
Illinois State University,Normal,Missouri Valley Conference,40.5179938,-89.0084607
Indiana State University,Terre Haute,Missouri Valley Conference,39.4709168,-87.4092073
Indiana University Bloomington,Bloomington,Big Ten Conference,39.1802358,-86.5093526
Indiana University Indianapolis,Indianapolis,Horizon League,39.7747586,-86.1769528
Iona University,New Rochelle,Metro Atlantic Athletic Conference,40.9434952,-73.8191509
Iowa State University,Ames,Big 12 Conference,42.0279608,-93.6447375
Jackson State University,Jackson,Southwestern Athletic Conference,32.2964092,-90.2074376
Jacksonville State University,Jacksonville,Conference USA,33.8249359,-85.7641095
Jacksonville University,Jacksonville,Atlantic Sun Conference,30.3537227,-81.6073061
James Madison University,Harrisonburg,Sun Belt Conference,38.4364404,-78.8689648
