College,State,Conference,Unnamed: 3,Latitude,Longitude
Adams State University,CO,Rocky Mountain Athletic Conference,,37.4748025,-105.8819231
Adelphi University,NY,Northeast-10 Conference,,40.7197638,-73.6519719
University of Alabama in Huntsville,AL,Gulf South Conference,,34.7257273,-86.640933
University of Alaska Anchorage,AK,Great Northwest Athletic Conference,,61.190379,-149.8223254
University of Alaska Fairbanks,AK,Great Northwest Athletic Conference,,64.8671599,-147.8507674
Albany State University,GA,Southern Intercollegiate Athletic Conference,,31.5678798,-84.1405794
Allen University,SC,Southern Intercollegiate Athletic Conference,,34.010463,-81.0199356
American International College,MA,Northeast-10 Conference,,42.1133954,-72.5572856
Anderson University,SC,South Atlantic Conference,,34.5148116,-82.638355
Angelo State University,TX,Lone Star Conference,,31.4389278,-100.4553039
Arkansas Tech University,AR,Great American Conference,,35.2943327,-93.1361253
University of Arkansas–Fort Smith,AR,Mid-America Intercollegiate Athletics Association,,35.3829856,-94.3741271
University of Arkansas at Monticello,AR,Great American Conference,,33.5907054,-91.8114569
Ashland University,OH,Great Midwest Athletic Conference,,40.8620672,-82.3255774
Assumption University,MA,Northeast-10 Conference,,42.2953528,-71.8296438
Auburn University at Montgomery,AL,Gulf South Conference,,32.3709721,-86.1771873
Augusta University,GA,Peach Belt Conference,,33.4694103,-81.9884196
Augustana University,SD,Northern Sun Intercollegiate Conference,,43.5253341,-96.7387574
Azusa Pacific University,CA,Pacific West Conference,,34.1331729,-117.9011856
Barry University,FL,Sunshine State Conference,,25.8790289,-80.2015168
Barton College,NC,Conference Carolinas,,35.7353597,-77.9124691
Belmont Abbey College,NC,Conference Carolinas,,35.2613455,-81.036359
Bemidji State University,MN,Northern Sun Intercollegiate Conference,,47.4850208,-94.8740784
Benedict College,SC,Southern Intercollegiate Athletic Conference,,34.0139628,-81.0209729
Bentley University,MA,Northeast-10 Conference,,42.3834189,-71.2225864
Biola University,CA,Pacific West Conference,,33.90686,-118.0152172
Black Hills State University,SD,Rocky Mountain Athletic Conference,,44.4981504,-103.8728541
Bluefield State University,WV,Central Intercollegiate Athletic Association,,37.2666671,-81.237235
Bowie State University,MD,Central Intercollegiate Athletic Association,,39.0183881,-76.7609512
University of Bridgeport,CT,Central Atlantic Collegiate Conference,,41.1646585,-73.1904612
Caldwell University,NJ,Central Atlantic Collegiate Conference,,40.8339079,-74.2713297
PennWest California,PA,Pennsylvania State Athletic Conference,,,
California State Polytechnic University,Humboldt,California Collegiate Athletic Association,,35.1741798,-120.7413591
California State University,CA,California Collegiate Athletic Association,,34.1799047,-117.3263
California State University San Marcos,CA,California Collegiate Athletic Association,,33.1295667,-117.1606492
